,winner,loser,match score
2499,James McGee,Ruben Ramirez Hidalgo,676 63 64 
2500,Vincent Millot,Stefano Napolitano,75 36 63 
2501,Nikola Milojevic,Enrique Lopez-Perez,63 64 
2502,Blake Mott,Jeremy Jahn,64 64 
2503,Aleksandr Nedovyesov,Neil Pauffley,50 (RET)
2504,Dennis Novikov,Di Wu,64 763 
2505,Sebastian Ofner,Kimmer Coppejans,764 36 108 
2506,Roberto Quiroz,Edward Corrie,46 63 61 
2507,Lukas Rosol,Jason Jung,765 766 
2508,Tim Smyczek,Yannick Maden,763 62 
2509,Stefano Travaglia,Salvatore Caruso,63 75 
2510,Alexander Ward,Egor Gerasimov,16 75 63 
2511,Grega Zemlja,Ilya Ivashka,768 36 64 
2512,David Ferrer,Alexandr Dolgopolov,64 64 
2513,David Ferrer,Fernando Verdasco,61 673 64 
2514,Alexandr Dolgopolov,Andrey Kuznetsov,63 62 
2515,Fernando Verdasco,Albert Ramos-Vinolas,63 62 
2516,Alexandr Dolgopolov,Karen Khachanov,765 36 762 
2517,Andrey Kuznetsov,Diego Schwartzman,63 63 
2518,David Ferrer,Henri Laaksonen,75 36 763 
2519,Andrey Kuznetsov,Pablo Carreno Busta,46 765 30 (RET)
2520,Albert Ramos-Vinolas,Thiago Monteiro,36 64 63 
2521,Henri Laaksonen,Pablo Cuevas,64 63 
2522,Karen Khachanov,Ernests Gulbis,46 765 63 
2523,Fernando Verdasco,Facundo Bagnis,63 62 
2524,Diego Schwartzman,Renzo Olivo,64 61 
2525,David Ferrer,Dustin Brown,62 63 
2526,Alexandr Dolgopolov,Horacio Zeballos,64 64 
2527,Fernando Verdasco,Elias Ymer,46 63 64 
2528,Diego Schwartzman,Maximilian Marterer,61 63 
2529,David Ferrer,Federico Delbonis,63 64 
2530,Horacio Zeballos,Nikoloz Basilashvili,63 63 
2531,Facundo Bagnis,Tommy Haas,675 63 62 
2532,Dustin Brown,Thomaz Bellucci,64 63 
2533,Alexandr Dolgopolov,Leonardo Mayer,63 62 
2534,Ernests Gulbis,Arthur De Greef,46 63 62 
2535,Andrey Kuznetsov,Jan-Lennard Struff,63 64 
2536,Henri Laaksonen,Mikael Ymer,765 75 
2537,Thiago Monteiro,Dusan Lajovic,63 (RET)
2538,Renzo Olivo,Paul-Henri Mathieu,62 64 
2539,Federico Delbonis,Stephane Robert,62 63 
2540,Arthur De Greef,Tommy Robredo,64 62 
2541,Maximilian Marterer,Calvin Hemery ,62 62 
2542,Leonardo Mayer,Paul-Henri Mathieu,26 63 62 
2543,Federico Delbonis,Markus Eriksson,64 64 
2544,Arthur De Greef,Fred Simonsson,46 64 64 
2545,Maximilian Marterer,Andre Goransson,62 61 
2546,Paul-Henri Mathieu,Isak Arvidsson,62 62 
2547,Stephane Robert,Constant Lestienne,63 51 (RET)
2548,Tommy Robredo,Mathias Bourgue,51 (RET)
2549,Leonardo Mayer,Tristan Lamasine,768 673 62 
2550,Calvin Hemery ,Kimmer Coppejans,63 64 
2551,John Isner,Matthew Ebden,63 764 
2552,John Isner,Bjorn Fratangelo,62 64 
2553,Matthew Ebden,Peter Gojowczyk,63 63 
2554,John Isner,Dennis Novikov,64 64 
2555,Peter Gojowczyk,Ivo Karlovic,765 671 764 
2556,Bjorn Fratangelo,Pierre-Hugues Herbert,62 57 64 
2557,Matthew Ebden,Tobias Kamke,46 766 64 
2558,John Isner,Sam Groth,62 64 
2559,Ivo Karlovic,Denis Kudla,64 64 
2560,Tobias Kamke,Adrian Mannarino,765 75 
2561,Pierre-Hugues Herbert,Adrian Menendez-Maceiras,75 26 63 
2562,Matthew Ebden,Lukas Lacko,61 762 
2563,Bjorn Fratangelo,Akira Santillan,763 36 61 
2564,Peter Gojowczyk,Konstantin Kravchuk,26 64 64 
2565,Dennis Novikov,Frank Dancevic,63 62 
2566,Konstantin Kravchuk,Victor Estrella Burgos,64 64 
2567,Lukas Lacko,Reilly Opelka,767 64 
2568,Frank Dancevic,Tennys Sandgren,675 63 62 
2569,Bjorn Fratangelo,Illya Marchenko,762 16 64 
2570,Matthew Ebden,Rajeev Ram,61 64 
2571,Peter Gojowczyk,Thai-Son Kwiatkowski,63 63 
2572,Sam Groth,Austin Krajicek,673 762 63 
2573,Tobias Kamke,Taylor Fritz,63 63 
2574,Denis Kudla,Mitchell Krueger,64 57 60 
2575,Adrian Menendez-Maceiras,Stefan Kozlov,62 765 
2576,Dennis Novikov,Marco Chiudinelli,61 63 
2577,Akira Santillan,Michael Mmoh,61 62 
2578,Matthew Ebden,Ramkumar Ramanathan,46 61 75 
2579,Sam Groth,William Blumberg,62 64 
2580,Frank Dancevic,Andrew Whittington,36 63 769 
2581,Austin Krajicek,John-Patrick Smith,64 64 
2582,Ramkumar Ramanathan,Christopher Eubanks,64 36 61 
2583,Sam Groth,Alessandro Bega,62 63 
2584,Austin Krajicek,Tim Smyczek,764 63 
2585,Andrew Whittington,Evan King,75 60 
2586,William Blumberg,James McGee,765 64 
2587,John-Patrick Smith,Alex Bolt,64 63 
2588,Matthew Ebden,Brydan Klein,36 60 64 
2589,Frank Dancevic,Marcelo Arevalo,36 61 64 
2590,Andrey Rublev,Paolo Lorenzi,64 62 
2591,Paolo Lorenzi,Alessandro Giannessi,62 46 63 
2592,Andrey Rublev,Ivan Dodig,764 61 
2593,Ivan Dodig,David Goffin,75 63 
2594,Andrey Rublev,Fabio Fognini,675 62 762 
2595,Paolo Lorenzi,Jiri Vesely,16 75 63 
2596,Alessandro Giannessi,Rogerio Dutra Silva,673 62 75 
2597,David Goffin,Attila Balazs,64 677 62 
2598,Rogerio Dutra Silva,Gael Monfils,765 46 63 
2599,Fabio Fognini,Nicolas Kicker,64 16 62 
2600,Paolo Lorenzi,Aljaz Bedene,75 63 
2601,Jiri Vesely,Radu Albot,763 62 
2602,Ivan Dodig,Marco Cecchinato,36 766 62 
2603,Alessandro Giannessi,Kenny De Schepper,62 36 63 
2604,Andrey Rublev,Andrej Martin,765 75 
2605,Marco Cecchinato,Gilles Simon,61 36 61 
2606,Kenny De Schepper,Benoit Paire,62 46 63 
2607,Jiri Vesely,Norbert Gombos,64 60 
2608,Radu Albot,Miljan Zekic,64 60 
2609,Attila Balazs,Damir Dzumhur,63 06 75 
2610,Aljaz Bedene,Joao Sousa,63 46 64 
2611,Ivan Dodig,Marius Copil,64 764 
2612,Rogerio Dutra Silva,Marco Trungelliti,61 62 
2613,Alessandro Giannessi,Marc Polmans,673 63 64 
2614,Nicolas Kicker,Mikhail Youzhny,63 75 
2615,Andrej Martin,Denis Istomin,63 62 
2616,Andrey Rublev,Carlos Berlocq,62 64 
2617,Attila Balazs,Andrey Rublev,63 75 
2618,Kenny De Schepper,Franko Skugor,16 762 767 
2619,Marco Trungelliti,Matteo Donati,62 64 
2620,Miljan Zekic,Stefano Napolitano,63 75 
2621,Andrey Rublev,Jordi Samper-Montana,62 64 
2622,Kenny De Schepper,Matteo Viola,62 75 
2623,Marco Trungelliti,Rocco Savin,61 61 
2624,Stefano Napolitano,Tomislav Brkic,63 75 
2625,Attila Balazs,Matija Pecotic,36 764 62 
2626,Miljan Zekic,Nino Serdarusic,36 63 64 
2627,Franko Skugor,Nils Langer,676 62 63 
2628,Matteo Donati,Walter Trusendi,46 64 63 
2629,John Isner,Ryan Harrison,766 767 
2630,John Isner,Gilles Muller,64 62 
2631,Ryan Harrison,Kyle Edmund,675 63 64 
2632,Kyle Edmund,Jack Sock,64 61 
2633,John Isner,Lukas Lacko,75 64 
2634,Gilles Muller,Tommy Paul,63 61 
2635,Ryan Harrison,Christopher Eubanks,61 62 
2636,Jack Sock,Dudi Sela,64 63 
2637,John Isner,Vasek Pospisil,63 64 
2638,Gilles Muller,Quentin Halys,64 671 63 
2639,Ryan Harrison,John Millman,672 764 75 
2640,Kyle Edmund,Peter Gojowczyk,26 64 75 
2641,Lukas Lacko,Donald Young,63 61 
2642,Christopher Eubanks,Jared Donaldson,64 46 62 
2643,Tommy Paul,Malek Jaziri,675 64 63 
2644,Kyle Edmund,Marcos Baghdatis,63 75 
2645,Donald Young,Tim Smyczek,64 62 
2646,Tommy Paul,Hyeon Chung,46 62 63 
2647,Jared Donaldson,Ernesto Escobedo,63 61 
2648,Christopher Eubanks,Taylor Fritz,765 64 
2649,Peter Gojowczyk,Guido Pella,46 63 765 
2650,Quentin Halys,Stefan Kozlov,75 767 
2651,Malek Jaziri,Reilly Opelka,57 7614 61 
2652,Lukas Lacko,Thomas Fabbiano,61 62 
2653,John Millman,Frances Tiafoe,57 64 765 
2654,Vasek Pospisil,Bjorn Fratangelo,75 46 763 
2655,Dudi Sela,Konstantin Kravchuk,75 62 
2656,Tim Smyczek,Illya Marchenko,(W/O)
2657,Stefan Kozlov,Brydan Klein,679 62 764 
2658,Quentin Halys,Dennis Novikov,676 75 64 
2659,Tommy Paul,Mitchell Krueger,26 62 63 
2660,Illya Marchenko,Alessandro Bega,64 64 
2661,Stefan Kozlov,Catalin-Ionut Gard,63 61 
2662,Quentin Halys,Hugo Nys,63 75 
2663,Mitchell Krueger,Pol Wattanakul,61 62 
2664,Tim Smyczek,Jeevan Nedunchezhiyan,763 63 
2665,Dennis Novikov,Ante Pavic,64 63 
2666,Brydan Klein,Trent Bryde,63 60 
2667,Tommy Paul,Andrew Carter,46 60 61 
2668,Fabio Fognini,Yannick Hanfmann,64 75 
2669,Fabio Fognini,Roberto Bautista Agut,57 62 63 
2670,Yannick Hanfmann,Robin Haase,36 766 764 
2671,Robin Haase,David Goffin,75 61 
2672,Roberto Bautista Agut,Denis Istomin,63 64 
2673,Fabio Fognini,Ernests Gulbis,63 46 63 
2674,Yannick Hanfmann,Joao Sousa,6710 62 62 
2675,David Goffin,Radu Albot,26 767 767 
2676,Roberto Bautista Agut,Gleb Sakharov,64 63 
2677,Yannick Hanfmann,Feliciano Lopez,765 36 61 
2678,Fabio Fognini,Norbert Gombos,16 64 63 
2679,Ernests Gulbis,Paolo Lorenzi,7610 36 64 
2680,Robin Haase,Thiago Monteiro,75 75 
2681,Joao Sousa,Henri Laaksonen,61 62 
2682,Denis Istomin,Dustin Brown,63 61 
2683,Paolo Lorenzi,Marco Chiudinelli,762 63 
2684,Robin Haase,Renzo Olivo,61 64 
2685,Dustin Brown,Dusan Lajovic,63 763 
2686,Joao Sousa,Santiago Giraldo,63 63 
2687,Radu Albot,Mikhail Youzhny,46 766 75 
2688,Norbert Gombos,Taro Daniel,768 62 
2689,Ernests Gulbis,Daniel Brands,64 64 
2690,Yannick Hanfmann,Facundo Bagnis,63 673 64 
2691,Denis Istomin,Lorenzo Giustino,63 62 
2692,Henri Laaksonen,Thomaz Bellucci,762 674 75 
2693,Thiago Monteiro,Alexandr Dolgopolov,765 36 63 
2694,Gleb Sakharov,Antoine Bellier,63 768 
2695,Lorenzo Giustino,Joao Souza,764 765 
2696,Yannick Hanfmann,Jonathan Eysseric,62 61 
2697,Daniel Brands,Stefano Napolitano,763 57 763 
2698,Gleb Sakharov,Adrian Bodmer,63 75 
2699,Adrian Bodmer,Arthur De Greef,765 62 
2700,Joao Souza,Gianluigi Quinzi,64 36 765 
2701,Daniel Brands,Adrian Menendez-Maceiras,62 63 
2702,Yannick Hanfmann,Marcelo Arevalo,61 61 
2703,Jonathan Eysseric,Attila Balazs,62 63 
2704,Stefano Napolitano,Marc-Andrea Huesler,63 62 
2705,Lorenzo Giustino,Yann Marti,64 673 62 
2706,Gleb Sakharov,Yannick Mertens,64 75 
2707,Leonardo Mayer,Florian Mayer,64 46 63 
2708,Florian Mayer,Philipp Kohlschreiber,46 32 (RET)
2709,Leonardo Mayer,Federico Delbonis,63 75 
2710,Federico Delbonis,Karen Khachanov,75 36 64 
2711,Florian Mayer,Diego Schwartzman,62 26 63 
2712,Philipp Kohlschreiber,Nicolas Kicker,766 46 64 
2713,Leonardo Mayer,Jiri Vesely,764 63 
2714,Karen Khachanov,Aljaz Bedene,764 57 64 
2715,Philipp Kohlschreiber,Gilles Simon,63 36 62 
2716,Nicolas Kicker,Benoit Paire,64 767 
2717,Diego Schwartzman,Cedrik-Marcel Stebe,16 64 62 
2718,Federico Delbonis,David Ferrer,75 63 
2719,Florian Mayer,Andrey Kuznetsov,63 46 64 
2720,Leonardo Mayer,Jan-Lennard Struff,62 75 
2721,Jiri Vesely,Horacio Zeballos,64 64 
2722,Leonardo Mayer,Albert Ramos-Vinolas,673 63 764 
2723,Andrey Kuznetsov,Pablo Cuevas,36 75 64 
2724,Karen Khachanov,Rudolf Molleker,64 63 
2725,Gilles Simon,Maximilian Marterer,62 46 64 
2726,Benoit Paire,Dmitry Tursunov,63 62 
2727,Diego Schwartzman,Andreas Haider-Maurer,62 63 
2728,Jiri Vesely,Fernando Verdasco,767 670 63 
2729,David Ferrer,Nikoloz Basilashvili,62 36 63 
2730,Aljaz Bedene,Jose Hernandez-Fernandez,61 62 
2731,Federico Delbonis,Carlos Berlocq,676 75 63 
2732,Nicolas Kicker,Tommy Haas,75 62 
2733,Philipp Kohlschreiber,Andrey Rublev,63 61 
2734,Florian Mayer,Marco Cecchinato,75 62 
2735,Cedrik-Marcel Stebe,Damir Dzumhur,63 64 
2736,Jan-Lennard Struff,Evgeny Donskoy,63 64 
2737,Horacio Zeballos,Daniel Altmaier,762 64 
2738,Damir Dzumhur,Sergiy Stakhovsky,765 75 
2739,Federico Delbonis,Kenny De Schepper,61 60 
2740,Rudolf Molleker,Leonardo Mayer,762 36 63 
2741,Cedrik-Marcel Stebe,Oscar Otte,672 762 61 
2742,Damir Dzumhur,Michael Linzer,63 75 
2743,Federico Delbonis,Jose Hernandez-Fernandez,61 62 
2744,Cedrik-Marcel Stebe,Marton Fucsovics,75 673 64 
2745,Rudolf Molleker,Casper Ruud,26 64 64 
2746,Sergiy Stakhovsky,Jason Jeremy Hildebrandt,62 64 
2747,Leonardo Mayer,Louis Wessels,63 62 
2748,Oscar Otte,Gastao Elias,12 (RET)
2749,Kenny De Schepper,Maximo Gonzalez,75 75 
2750,Philipp Kohlschreiber,Joao Sousa,63 64 
2751,Philipp Kohlschreiber,Fabio Fognini,75 63 
2752,Joao Sousa,Sebastian Ofner,764 764 
2753,Fabio Fognini,Thomaz Bellucci,63 61 
2754,Philipp Kohlschreiber,Dusan Lajovic,46 64 765 
2755,Sebastian Ofner,Renzo Olivo,63 16 63 
2756,Joao Sousa,Gerald Melzer,26 61 63 
2757,Sebastian Ofner,Pablo Cuevas,63 26 763 
2758,Fabio Fognini,Miljan Zekic,64 64 
2759,Joao Sousa,Paolo Lorenzi,675 64 61 
2760,Dusan Lajovic,Gilles Simon,64 64 
2761,Thomaz Bellucci,Jan-Lennard Struff,64 763 
2762,Philipp Kohlschreiber,Jiri Vesely,63 63 
2763,Renzo Olivo,Horacio Zeballos,764 62 
2764,Gerald Melzer,Santiago Giraldo,63 761 
2765,Santiago Giraldo,Robin Haase,766 46 64 
2766,Jan-Lennard Struff,Tommy Haas,63 764 
2767,Jiri Vesely,Yannick Hanfmann,64 64 
2768,Horacio Zeballos,Rogerio Dutra Silva,26 7611 764 
2769,Thomaz Bellucci,Alexandr Dolgopolov,62 57 64 
2770,Philipp Kohlschreiber,Facundo Bagnis,75 36 63 
2771,Dusan Lajovic,Maximilian Marterer,75 764 
2772,Gerald Melzer,Carlos Berlocq,64 57 63 
2773,Sebastian Ofner,Nikoloz Basilashvili,75 30 (RET)
2774,Renzo Olivo,Thiago Monteiro,75 62 
2775,Joao Sousa,Mikhail Youzhny,674 75 63 
2776,Miljan Zekic,Andrey Kuznetsov,764 766 
2777,Santiago Giraldo,Jozef Kovalik,75 64 
2778,Facundo Bagnis,Thiago Monteiro,36 64 63 
2779,Maximilian Marterer,Michael Linzer,62 64 
2780,Miljan Zekic,Stefanos Tsitsipas,764 763 
2781,Miljan Zekic,Alessandro Giannessi,36 75 64 
2782,Santiago Giraldo,Lenny Hampel,61 62 
2783,Michael Linzer,Jerzy Janowicz,61 64 
2784,Facundo Bagnis,Hubert Hurkacz,63 26 61 
2785,Thiago Monteiro,Paul-Henri Mathieu,62 61 
2786,Maximilian Marterer,Jurij Rodionov,765 61 
2787,Jozef Kovalik,Gastao Elias,61 57 64 
2788,Stefanos Tsitsipas,Mohamed Safwat,63 764 
2789,Sam Querrey,Thanasi Kokkinakis,63 36 62 
2790,Thanasi Kokkinakis,Tomas Berdych,36 765 64 
2791,Sam Querrey,Damir Dzumhur,36 64 64 
2792,Tomas Berdych,Adrian Mannarino,46 63 64 
2793,Sam Querrey,Vincent Millot,61 63 
2794,Damir Dzumhur,Feliciano Lopez,672 64 762 
2795,Thanasi Kokkinakis,Taylor Fritz,765 62 
2796,Tomas Berdych,Akira Santillan,63 61 
2797,Sam Querrey,Evan King,64 46 762 
2798,Taylor Fritz,Albert Ramos-Vinolas,765 64 
2799,Feliciano Lopez,Matthew Ebden,64 64 
2800,Vincent Millot,Fernando Verdasco,16 62 64 
2801,Adrian Mannarino,Bjorn Fratangelo,61 61 
2802,Damir Dzumhur,Quentin Halys,53 (RET)
2803,Thanasi Kokkinakis,Peter Polansky,46 63 764 
2804,Quentin Halys,Ivo Karlovic,765 768 
2805,Fernando Verdasco,Ernesto Escobedo,676 75 62 
2806,Adrian Mannarino,Jason Jung,63 63 
2807,Thanasi Kokkinakis,Frances Tiafoe,763 7610 
2808,Damir Dzumhur,Taro Daniel,674 63 63 
2809,Matthew Ebden,Dennis Novikov,16 63 63 
2810,Bjorn Fratangelo,Tatsuma Ito,64 64 
2811,Taylor Fritz,Mikhail Kukushkin,675 62 62 
2812,Evan King,Manuel Sanchez,64 64 
2813,Vincent Millot,Brydan Klein,62 36 61 
2814,Peter Polansky,Yasutaka Uchiyama,75 765 
2815,Akira Santillan,Konstantin Kravchuk,60 61 
2816,Quentin Halys,Evan Song,63 762 
2817,Matthew Ebden,Brydan Klein,60 75 
2818,Akira Santillan,Sadio Doumbia,63 61 
2819,Evan King,Ante Pavic,766 61 
2820,Quentin Halys,Alan Raul Sau Franco,60 60 
2821,Matthew Ebden,Hans Hach Verdugo,62 61 
2822,Akira Santillan,Bradley Mousley,64 62 
2823,Ante Pavic,Alexander Sarkissian,60 (RET)
2824,Brydan Klein,Hugo Nys,36 62 63 
2825,Evan Song,Roberto Quiroz,62 62 
2826,Sadio Doumbia,Andres Molteni,64 63 
2827,Evan King,Philip Bester,64 64 
2828,Alexander Zverev,Kevin Anderson,64 64 
2829,Alexander Zverev,Kei Nishikori,63 64 
2830,Kevin Anderson,Jack Sock,63 64 
2831,Kei Nishikori,Tommy Paul,36 768 64 
2832,Jack Sock,Milos Raonic,75 64 
2833,Alexander Zverev,Daniil Medvedev,62 64 
2834,Kevin Anderson,Yuki Bhambri,64 46 63 
2835,Kevin Anderson,Dominic Thiem,63 676 767 
2836,Kei Nishikori,Juan Martin del Potro,64 75 
2837,Milos Raonic,Marcos Baghdatis,767 63 
2838,Daniil Medvedev,Grigor Dimitrov,64 62 
2839,Alexander Zverev,Tennys Sandgren,75 75 
2840,Jack Sock,Jared Donaldson,766 62 
2841,Tommy Paul,Gilles Muller,673 64 63 
2842,Yuki Bhambri,Guido Pella,675 63 61 
2843,Dominic Thiem,Henri Laaksonen,63 63 
2844,Kei Nishikori,Donald Young,63 46 765 
2845,Milos Raonic,Nicolas Mahut,762 768 
2846,Grigor Dimitrov,Kyle Edmund,75 46 63 
2847,Alexander Zverev,Jordan Thompson,46 63 765 
2848,Yuki Bhambri,Gael Monfils,63 46 75 
2849,Tommy Paul,Lucas Pouille,766 63 
2850,Jack Sock,Marius Copil,762 766 
2851,Tennys Sandgren,Nick Kyrgios,63 30 (RET)
2852,Gilles Muller,Dmitry Tursunov,61 62 
2853,Guido Pella,Mischa Zverev,675 762 63 
2854,Juan Martin del Potro,Lukas Lacko,75 62 
2855,Daniil Medvedev,Steve Johnson,36 64 761 
2856,Kevin Anderson,Malek Jaziri,64 61 
2857,Marcos Baghdatis,Ryan Harrison,64 61 
2858,Jared Donaldson,Marc Polmans,62 63 
2859,Marcos Baghdatis,Edan Leshem,761 60 
2860,Yuki Bhambri,Stefan Kozlov,75 20 (RET)
2861,Marius Copil,Sekou Bangoura,64 761 
2862,Jared Donaldson,Dudi Sela,676 64 63 
2863,Kyle Edmund,Hyeon Chung,63 61 
2864,Malek Jaziri,Alessandro Bega,75 75 
2865,Henri Laaksonen,Vasek Pospisil,677 64 63 
2866,Lukas Lacko,Alexios Halebian,63 64 
2867,Nicolas Mahut,Thomas Fabbiano,61 763 
2868,Daniil Medvedev,Reilly Opelka,678 63 766 
2869,Tommy Paul,Casper Ruud,36 75 30 (RET)
2870,Guido Pella,Ramkumar Ramanathan,64 61 
2871,Tennys Sandgren,Go Soeda,762 63 
2872,Jordan Thompson,Ruben Bemelmans,63 62 
2873,Dmitry Tursunov,Mitchell Krueger,64 674 64 
2874,Donald Young,Tim Smyczek,46 63 64 
2875,Ramkumar Ramanathan,Marinko Matosevic,75 63 
2876,Yuki Bhambri,Liam Broady,62 64 
2877,Alexios Halebian,Marc Polmans,765 75 
2878,Sekou Bangoura,Austin Krajicek,671 75 64 
2879,Edan Leshem,Alejandro Gonzalez,64 62 
2880,Alessandro Bega,Joao Pedro Sorgi,64 64 
2881,Marc Polmans,Nicholas Reyes,61 63 
2882,Austin Krajicek,Connor Farren,62 62 
2883,Edan Leshem,Alex Rybakov,62 766 
2884,Joao Pedro Sorgi,Damon Gooch,46 61 62 
2885,Sekou Bangoura,Ryan Goetz,62 672 60 
2886,Alessandro Bega,Danny Thomas,763 63 
2887,Liam Broady,Frank Moser,62 64 
2888,Alejandro Gonzalez,Ulises Blanch,63 64 
2889,Marinko Matosevic,Patrick Kypson,61 61 
2890,Alexios Halebian,Wil Spencer,61 57 64 
2891,Alexander Zverev,Roger Federer,63 64 
2892,Roger Federer,Robin Haase,63 765 
2893,Alexander Zverev,Denis Shapovalov,64 75 
2894,Roger Federer,Roberto Bautista Agut,64 64 
2895,Alexander Zverev,Kevin Anderson,75 64 
2896,Robin Haase,Diego Schwartzman,46 63 63 
2897,Denis Shapovalov,Adrian Mannarino,26 63 64 
2898,Denis Shapovalov,Rafael Nadal,36 64 764 
2899,Roger Federer,David Ferrer,46 64 62 
2900,Alexander Zverev,Nick Kyrgios,64 63 
2901,Robin Haase,Grigor Dimitrov,763 46 61 
2902,Roberto Bautista Agut,Gael Monfils,46 765 762 
2903,Kevin Anderson,Sam Querrey,64 61 
2904,Adrian Mannarino,Hyeon Chung,63 63 
2905,Diego Schwartzman,Jared Donaldson,06 75 75 
2906,Rafael Nadal,Borna Coric,61 62 
2907,Roger Federer,Peter Polansky,62 61 
2908,Diego Schwartzman,Dominic Thiem,64 677 75 
2909,Alexander Zverev,Richard Gasquet,63 46 763 
2910,Gael Monfils,Kei Nishikori,674 75 766 
2911,Adrian Mannarino,Milos Raonic,64 64 
2912,Grigor Dimitrov,Mischa Zverev,63 36 63 
2913,Sam Querrey,Jo-Wilfried Tsonga,61 36 64 
2914,Hyeon Chung,David Goffin,75 63 
2915,Kevin Anderson,Pablo Carreno Busta,63 766 
2916,Roberto Bautista Agut,Ryan Harrison,75 62 
2917,David Ferrer,Jack Sock,767 36 61 
2918,Nick Kyrgios,Paolo Lorenzi,62 63 
2919,Jared Donaldson,Benoit Paire,62 75 
2920,Robin Haase,Ernesto Escobedo,64 61 
2921,Denis Shapovalov,Juan Martin del Potro,63 764 
2922,David Goffin,Yuichi Sugita,46 61 64 
2923,Pablo Carreno Busta,Karen Khachanov,36 63 62 
2924,Roberto Bautista Agut,Tim Smyczek,764 61 
2925,Jared Donaldson,Lucas Pouille,765 768 
2926,Juan Martin del Potro,John Isner,75 75 
2927,Jack Sock,Pierre-Hugues Herbert,764 63 
2928,Nick Kyrgios,Viktor Troicki,61 62 
2929,Kevin Anderson,Dudi Sela,63 761 
2930,Hyeon Chung,Feliciano Lopez,61 46 763 
2931,Borna Coric,Mikhail Youzhny,62 64 
2932,Ernesto Escobedo,Nikoloz Basilashvili,764 64 
2933,David Ferrer,Kyle Edmund,675 64 63 
2934,Richard Gasquet,Brayden Schnur,765 57 61 
2935,Robin Haase,Albert Ramos-Vinolas,63 63 
2936,Ryan Harrison,Thomas Fabbiano,63 75 
2937,Paolo Lorenzi,Frances Tiafoe,763 06 62 
2938,Adrian Mannarino,Daniil Medvedev,63 61 
2939,Gael Monfils,Steve Johnson,26 761 61 
2940,Benoit Paire,Donald Young,63 57 64 
2941,Peter Polansky,Vasek Pospisil,75 62 
2942,Sam Querrey,Vincent Millot,46 764 75 
2943,Diego Schwartzman,Reilly Opelka,63 672 64 
2944,Denis Shapovalov,Rogerio Dutra Silva,46 768 64 
2945,Mischa Zverev,Norbert Gombos,64 675 63 
2946,Pierre-Hugues Herbert,Mikhail Youzhny,62 26 63 
2947,Dudi Sela,Matthew Ebden,63 767 
2948,Reilly Opelka,Ernesto Escobedo,62 63 
2949,Norbert Gombos,James McGee,64 64 
2950,Thomas Fabbiano,Nicolas Mahut,62 75 
2951,Vincent Millot,Brydan Klein,763 764 
2952,Tim Smyczek,Frank Dancevic,671 62 62 
2953,Pierre-Hugues Herbert,Luke Saville,63 63 
2954,Dudi Sela,Samuel Monette,75 63 
2955,Ernesto Escobedo,Christian Harrison,26 63 761 
2956,Norbert Gombos,Raheel Manji,63 671 61 
2957,Frank Dancevic,Marius Copil,763 63 
2958,Thomas Fabbiano,Hubert Hurkacz,75 36 64 
2959,Mikhail Youzhny,Lloyd Harris,764 674 765 
2960,Nicolas Mahut,Andrew Whittington,75 763 
2961,Reilly Opelka,Kelsey Stevenson,64 63 
2962,Matthew Ebden,Benjamin Sigouin,63 61 
2963,Vincent Millot,Filip Peliwo,765 61 
2964,Tim Smyczek,Pavel Krainik,60 64 
2965,James McGee,Philip Bester,762 63 
2966,Brydan Klein,Antoine Leduc,60 63 
2967,Grigor Dimitrov,Nick Kyrgios,63 75 
2968,Grigor Dimitrov,John Isner,764 7610 
2969,Nick Kyrgios,David Ferrer,763 764 
2970,Nick Kyrgios,Rafael Nadal,62 75 
2971,David Ferrer,Dominic Thiem,63 63 
2972,Grigor Dimitrov,Yuichi Sugita,62 61 
2973,John Isner,Jared Donaldson,764 75 
2974,Rafael Nadal,Albert Ramos-Vinolas,761 62 
2975,Dominic Thiem,Adrian Mannarino,764 763 
2976,Grigor Dimitrov,Juan Martin del Potro,63 75 
2977,David Ferrer,Pablo Carreno Busta,64 64 
2978,John Isner,Frances Tiafoe,764 75 
2979,Jared Donaldson,Nikoloz Basilashvili,64 764 
2980,Nick Kyrgios,Ivo Karlovic,46 766 63 
2981,Yuichi Sugita,Karen Khachanov,670 63 63 
2982,Rafael Nadal,Richard Gasquet,63 64 
2983,Dominic Thiem,Fabio Fognini,63 62 
2984,Frances Tiafoe,Alexander Zverev,46 63 64 
2985,Grigor Dimitrov,Feliciano Lopez,765 64 
2986,Ivo Karlovic,Jo-Wilfried Tsonga,64 769 
2987,Pablo Carreno Busta,Mischa Zverev,63 762 
2988,John Isner,Tommy Paul,63 63 
2989,Adrian Mannarino,Sam Querrey,62 764 
2990,Albert Ramos-Vinolas,Gilles Muller,57 64 64 
2991,Nikoloz Basilashvili,Christian Harrison,63 63 
2992,Juan Martin del Potro,Mitchell Krueger,64 64 
2993,Jared Donaldson,Ramkumar Ramanathan,64 26 64 
2994,David Ferrer,Janko Tipsarevic,64 675 61 
2995,Karen Khachanov,Thomas Fabbiano,62 62 
2996,Nick Kyrgios,Alexandr Dolgopolov,63 766 
2997,Yuichi Sugita,Joao Sousa,36 765 61 
2998,Nick Kyrgios,David Goffin,62 63 
2999,Juan Martin del Potro,Tomas Berdych,36 761 60 
3000,Pablo Carreno Busta,Paolo Lorenzi,63 63 
3001,Jared Donaldson,Roberto Bautista Agut,765 63 
