,Name,Age,Birthday,Height,Weight,Rank,Country Represent,Year Turned Pro,Wins,Losses,Handed,Backhand Style,Number of Coaches
4717,Taylor Fritz,27,1990.07.13,188,176.0,101,"Vienna, Austria",2007.0,16,28,Left-Handed,Two-Handed Backhand,3
4718,Sam Querrey,30,1987.05.22,188,170.0,12,"Belgrade, Serbia",2003.0,783,163,Right-Handed,One-Handed Backhand,1
4719,Thomas Fabbiano,32,1985.04.27,188,183.0,66,"Mar del Plata, Argentina",2003.0,80,119,Left-Handed,Two-Handed Backhand,2
4720,Albert Ramos-Vinolas,32,1985.09.17,196,200.0,19,"Valasske Mezirici, CZE",2002.0,616,321,Right-Handed,One-Handed Backhand,1
4721,Jordan Thompson,24,1993.07.10,198,203.0,62,"Pribram, Czech Republic",2009.0,85,102,Left-Handed,One-Handed Backhand,1
4722,Steve Johnson,34,1983.11.15,185,192.0,35,"Madrid, Spain",2001.0,487,361,Left-Handed,Two-Handed Backhand,1
4723,Nicolas Kicker,26,1990.12.07,180,150.0,7,"Rocourt, Belgium",2009.0,201,128,Right-Handed,Two-Handed Backhand,1
4724,Mischa Zverev,32,1985.04.17,188,200.0,15,"Le Mans, France",2004.0,426,195,Right-Handed,Two-Handed Backhand,1
4725,Bernard Tomic,32,1984.12.08,196,172.0,125,"Celle, Germany",2002.0,60,93,Right-Handed,Two-Handed Backhand,0
4726,Fabio Fognini,38,1979.02.28,211,230.0,80,"Zagreb, Croatia",2000.0,346,307,Right-Handed,Two-Handed Backhand,1
4727,Dmitry Tursunov,21,1996.05.21,198,194.0,45,"Moscow, Russia",2013.0,43,46,Right-Handed,Two-Handed Backhand,0
4728,Juan Martin del Potro,32,1985.08.21,183,190.0,151,"Murcia, Spain",2003.0,397,277,Right-Handed,Two-Handed Backhand,0
4729,Thanasi Kokkinakis,34,1983.10.16,178,154.0,29,"Augsburg, Germany",2001.0,423,322,Right-Handed,Two-Handed Backhand,1
